YR,MONTH,HPI,STATE
2000,JAN,97.71,AL
2000,FEB,97.88,AL
2000,MAR,98.2,AL
2000,ARP,98.78,AL
2000,MAY,99.55,AL
2000,JUN,100.01,AL
2000,JUL,100.01,AL
2000,AUG,99.83,AL
2000,SEP,99.84,AL
2000,OCT,99.99,AL
2000,NOV,100.07,AL
2000,DEC,100,AL
2001,JAN,99.92,AL
2001,FEB,100.03,AL
2001,MAR,100.41,AL
2001,ARP,101.04,AL
2001,MAY,101.6,AL
2001,JUN,101.86,AL
2001,JUL,101.97,AL
2001,AUG,102.03,AL
2001,SEP,102.1,AL
2001,OCT,102.19,AL
2001,NOV,102.2,AL
2001,DEC,102.19,AL
2002,JAN,102.29,AL
2002,FEB,102.5,AL
2002,MAR,102.87,AL
2002,ARP,103.43,AL
2002,MAY,104.06,AL
2002,JUN,104.49,AL
2002,JUL,104.82,AL
2002,AUG,105.09,AL
2002,SEP,105.22,AL
2002,OCT,105.51,AL
2002,NOV,105.91,AL
2002,DEC,106.13,AL
2003,JAN,106.17,AL
2003,FEB,106.1,AL
2003,MAR,106.08,AL
2003,ARP,106.41,AL
2003,MAY,107.09,AL
2003,JUN,107.97,AL
2003,JUL,108.85,AL
2003,AUG,109.33,AL
2003,SEP,109.39,AL
2003,OCT,109.31,AL
2003,NOV,109.35,AL
2003,DEC,109.53,AL
2004,JAN,109.85,AL
2004,FEB,110.21,AL
2004,MAR,110.52,AL
2004,ARP,111.14,AL
2004,MAY,112.37,AL
2004,JUN,113.82,AL
2004,JUL,114.73,AL
2004,AUG,114.89,AL
2004,SEP,114.87,AL
2004,OCT,115.22,AL
2004,NOV,115.71,AL
2004,DEC,115.83,AL
2005,JAN,115.86,AL
2005,FEB,116.27,AL
2005,MAR,117.33,AL
2005,ARP,118.87,AL
2005,MAY,120.45,AL
2005,JUN,121.74,AL
2005,JUL,122.6,AL
2005,AUG,123.18,AL
2005,SEP,123.72,AL
2005,OCT,124.54,AL
2005,NOV,125.42,AL
2005,DEC,126.04,AL
2006,JAN,126.72,AL
2006,FEB,127.59,AL
2006,MAR,128.65,AL
2006,ARP,130.01,AL
2006,MAY,131.3,AL
2006,JUN,132.22,AL
2006,JUL,132.85,AL
2006,AUG,133.28,AL
2006,SEP,133.4,AL
2006,OCT,133.32,AL
2006,NOV,133.36,AL
2006,DEC,133.34,AL
2007,JAN,133.07,AL
2007,FEB,133.36,AL
2007,MAR,134.45,AL
2007,ARP,135.53,AL
2007,MAY,136.43,AL
2007,JUN,136.99,AL
2007,JUL,137.02,AL
2007,AUG,136.73,AL
2007,SEP,136.15,AL
2007,OCT,135.41,AL
2007,NOV,134.51,AL
2007,DEC,133.46,AL
2008,JAN,132.82,AL
2008,FEB,132.82,AL
2008,MAR,133.28,AL
2008,ARP,133.93,AL
2008,MAY,134.28,AL
2008,JUN,134.3,AL
2008,JUL,134.27,AL
2008,AUG,133.82,AL
2008,SEP,132.68,AL
2008,OCT,131.11,AL
2008,NOV,129.27,AL
2008,DEC,127.75,AL
2009,JAN,127,AL
2009,FEB,126.68,AL
2009,MAR,126.53,AL
2009,ARP,126.81,AL
2009,MAY,127.16,AL
2009,JUN,127.03,AL
2009,JUL,126.72,AL
2009,AUG,126.42,AL
2009,SEP,126.32,AL
2009,OCT,126.53,AL
2009,NOV,126.3,AL
2009,DEC,125.41,AL
2010,JAN,124.25,AL
2010,FEB,123.04,AL
2010,MAR,122.24,AL
2010,ARP,122.27,AL
2010,MAY,122.53,AL
2010,JUN,122.15,AL
2010,JUL,121.23,AL
2010,AUG,120.27,AL
2010,SEP,119.35,AL
2010,OCT,118.41,AL
2010,NOV,117.37,AL
2010,DEC,116.36,AL
2011,JAN,115.6,AL
2011,FEB,115.25,AL
2011,MAR,115.42,AL
2011,ARP,115.91,AL
2011,MAY,116.23,AL
2011,JUN,116.27,AL
2011,JUL,116.03,AL
2011,AUG,115.42,AL
2011,SEP,114.43,AL
2011,OCT,113.38,AL
2011,NOV,112.85,AL
2011,DEC,112.78,AL
2012,JAN,112.89,AL
2012,FEB,113.24,AL
2012,MAR,113.95,AL
2012,ARP,115.12,AL
2012,MAY,116.41,AL
2012,JUN,117.15,AL
2012,JUL,117.09,AL
2012,AUG,116.66,AL
2012,SEP,116.22,AL
2012,OCT,115.78,AL
2012,NOV,115.56,AL
2012,DEC,115.58,AL
2013,JAN,115.66,AL
2013,FEB,116.02,AL
2013,MAR,116.93,AL
2013,ARP,118.14,AL
2013,MAY,119.41,AL
2013,JUN,120.59,AL
2013,JUL,121.23,AL
